Date;EndTime;artistName;trackName;msPlayed;Language;hours ;minutes
05.07.2022;18:48:00;To Eternity;Несмачний Мед;76273;uk;0,021186944;1,271216667
06.07.2022;8:06:00;Pianoboy;Кохання;4597;uk;0,001276944;0,076616667
06.07.2022;8:06:00;To Eternity;Несмачний Мед;15232;uk;0,004231111;0,253866667
06.07.2022;8:06:00;Tina Karol;"Спи собі сама - із к/ф ""Я, ""Побєда"" і Берлін""";835;uk;0,000231944;0,013916667
06.07.2022;8:06:00;TheRelaxedMovement;A Cold Night to Remember;16904;en;0,004695556;0,281733333
06.07.2022;8:07:00;Postman;Київські Вулиці;743;uk;0,000206389;0,012383333
06.07.2022;8:07:00;Blooms Corda;Mozhe;17716;und;0,004921111;0,295266667
06.07.2022;8:10:00;Men I Trust;Hard to Let Go;196231;en;0,054508611;3,270516667
06.07.2022;8:14:00;Epolets;Зраджуй;214528;uk;0,059591111;3,575466667
06.07.2022;8:14:00;Blooms Corda;Спірічуал;5897;uk;0,001638056;0,098283333
06.07.2022;8:14:00;TVORCHI;Believe;4155;en;0,001154167;0,06925
06.07.2022;8:16:00;Eternal Raijin;BERSERKER;121411;en;0,033725278;2,023516667
06.07.2022;8:18:00;Kayzo;BOTTLE OF RAIN;143248;en;0,039791111;2,387466667
06.07.2022;8:19:00;WVLFSN;Limelight;49481;en;0,013744722;0,824683333
06.07.2022;8:19:00;Joseph;Это тебе;1068;ru;0,000296667;0,0178
06.07.2022;8:22:00;Steve Lacy;Bad Habit;168855;en;0,046904167;2,81425
06.07.2022;8:24:00;Babyxsosa;FACETIME / TEXTING;148793;en;0,041331389;2,479883333
06.07.2022;8:27:00;Hen Clay;TF;154290;en;0,042858333;2,5715
06.07.2022;8:30:00;Eminem;From The D 2 The LBC (with Snoop Dogg);215949;en;0,059985833;3,59915
06.07.2022;8:33:00;CARR;Sudden Death;150802;en;0,041889444;2,513366667
06.07.2022;8:37:00;Men I Trust;Hard to Let Go;247615;en;0,068781944;4,126916667
06.07.2022;8:38:00;Mariah Carey;Always Be My Baby - Austin Millz Remix;38913;en;0,010809167;0,64855
06.07.2022;8:39:00;Delialah El-Atwi;Lotus Flower;65851;en;0,018291944;1,097516667
06.07.2022;9:07:00;Two Feet;Winter;149814;en;0,041615;2,4969
06.07.2022;9:09:00;JDM Global;Doomsday;142432;en;0,039564444;2,373866667
06.07.2022;9:13:00;Saib;Mushroom Samba;250434;en;0,069565;4,1739
06.07.2022;9:14:00;Dev Lemons;CEO OF MY ASS;38254;en;0,010626111;0,637566667
06.07.2022;9:15:00;Mujo;Summer Sunset;93423;en;0,025950833;1,55705
06.07.2022;9:18:00;Bktherula;THROUGH 2 U;148318;en;0,041199444;2,471966667
06.07.2022;9:21:00;Sean McVerry;Ticket Taker (feat. Abhi the Nomad);184500;en;0,05125;3,075
06.07.2022;9:22:00;BACKWHEN;Heaven;69896;en;0,019415556;1,164933333
06.07.2022;15:03:00;Agar Agar;Trouble;219594;en;0,060998333;3,6599
06.07.2022;15:04:00;LOVV66;ЕЩЁ ЧАС;16806;ru;0,004668333;0,2801
06.07.2022;15:07:00;Mura Masa;hollaback bitch (with Shygirl & Channel Tres);203549;en;0,056541389;3,392483333
06.07.2022;15:08:00;loonight;Undefined;80963;en;0,022489722;1,349383333
